CustomerId,CustomerCompanyName,OrderId,OrderDate
89,Customer YBQTI,10904,2016-02-24
88,Customer SRQVM,10905,2016-02-24
91,Customer CCFIZ,10906,2016-02-25
74,Customer YSHXL,10907,2016-02-25
90,Customer XBBVR,10910,2016-02-26
62,Customer WFIZJ,10913,2016-02-26
70,Customer TMXGN,10909,2016-02-26
66,Customer LHANT,10908,2016-02-26
37,Customer FRXZL,10912,2016-02-26
30,Customer KSLQF,10911,2016-02-26
64,Customer LWGMD,10916,2016-02-27
62,Customer WFIZJ,10914,2016-02-27
80,Customer VONTK,10915,2016-02-27
69,Customer SIUIH,10917,2016-03-02
47,Customer PSQUZ,10919,2016-03-02
10,Customer EEALV,10918,2016-03-02
4,Customer HFBZG,10920,2016-03-03
41,Customer XIIWM,10923,2016-03-03
34,Customer IBVRG,10922,2016-03-03
83,Customer ZRNDE,10921,2016-03-03
34,Customer IBVRG,10925,2016-03-04
2,Customer MLTDN,10926,2016-03-04
5,Customer HGVLZ,10924,2016-03-04
25,Customer AZJED,10929,2016-03-05
29,Customer MDLWA,10928,2016-03-05
40,Customer EFFTC,10927,2016-03-05
38,Customer LJUCA,10933,2016-03-06
9,Customer RTXGC,10932,2016-03-06
76,Customer SFOGW,10930,2016-03-06
68,Customer CCKOT,10931,2016-03-06
88,Customer SRQVM,10935,2016-03-09
44,Customer OXFRU,10934,2016-03-09
32,Customer YSIQX,10936,2016-03-09
12,Customer PSNMQ,10937,2016-03-10
63,Customer IRRVL,10938,2016-03-10
49,Customer CQRAA,10939,2016-03-10
71,Customer LCOUJ,10941,2016-03-11
66,Customer LHANT,10942,2016-03-11
11,Customer UBHAU,10943,2016-03-11
9,Customer RTXGC,10940,2016-03-11
10,Customer EEALV,10944,2016-03-12
52,Customer PZNLA,10945,2016-03-12
83,Customer ZRNDE,10946,2016-03-12
10,Customer EEALV,10949,2016-03-13
11,Customer UBHAU,10947,2016-03-13
30,Customer KSLQF,10948,2016-03-13
4,Customer HFBZG,10953,2016-03-16
1,Customer NRZBB,10952,2016-03-16
49,Customer CQRAA,10950,2016-03-16
68,Customer CCKOT,10951,2016-03-16
6,Customer XHXJV,10956,2016-03-17
24,Customer CYZTN,10955,2016-03-17
47,Customer PSQUZ,10954,2016-03-17
31,Customer YJCBX,10959,2016-03-18
35,Customer UMTLM,10957,2016-03-18
54,Customer TDKEG,10958,2016-03-18
62,Customer WFIZJ,10961,2016-03-19
63,Customer IRRVL,10962,2016-03-19
35,Customer UMTLM,10960,2016-03-19
28,Customer XYUFB,10963,2016-03-19
14,Customer WNMAF,10966,2016-03-20
55,Customer KZQZT,10965,2016-03-20
74,Customer YSHXL,10964,2016-03-20
79,Customer FAPSM,10967,2016-03-23
15,Customer JUWXK,10969,2016-03-23
20,Customer THHDP,10968,2016-03-23
26,Customer USDBG,10971,2016-03-24
8,Customer QUHWH,10970,2016-03-24
40,Customer EFFTC,10972,2016-03-24
40,Customer EFFTC,10973,2016-03-24
35,Customer UMTLM,10976,2016-03-25
10,Customer EEALV,10975,2016-03-25
75,Customer XOJYP,10974,2016-03-25
50,Customer JYPSC,10978,2016-03-26
24,Customer CYZTN,10977,2016-03-26
20,Customer THHDP,10979,2016-03-26
10,Customer EEALV,10982,2016-03-27
24,Customer CYZTN,10980,2016-03-27
34,Customer IBVRG,10981,2016-03-27
71,Customer LCOUJ,10983,2016-03-27
71,Customer LCOUJ,10984,2016-03-30
54,Customer TDKEG,10986,2016-03-30
37,Customer FRXZL,10985,2016-03-30
19,Customer RFNQC,10987,2016-03-31
61,Customer WULWD,10989,2016-03-31
65,Customer NYUHS,10988,2016-03-31
63,Customer IRRVL,10991,2016-04-01
77,Customer LCYBZ,10992,2016-04-01
20,Customer THHDP,10990,2016-04-01
24,Customer CYZTN,10993,2016-04-01
83,Customer ZRNDE,10994,2016-04-02
63,Customer IRRVL,10996,2016-04-02
58,Customer AHXHT,10995,2016-04-02
56,Customer QNIVZ,10999,2016-04-03
91,Customer CCFIZ,10998,2016-04-03
46,Customer XPNIK,10997,2016-04-03
24,Customer CYZTN,11001,2016-04-06
78,Customer NLTYP,11003,2016-04-06
71,Customer LCOUJ,11002,2016-04-06
65,Customer NYUHS,11000,2016-04-06
50,Customer JYPSC,11004,2016-04-07
90,Customer XBBVR,11005,2016-04-07
32,Customer YSIQX,11006,2016-04-07
30,Customer KSLQF,11009,2016-04-08
20,Customer THHDP,11008,2016-04-08
60,Customer QZURI,11007,2016-04-08
66,Customer LHANT,11010,2016-04-09
69,Customer SIUIH,11013,2016-04-09
25,Customer AZJED,11012,2016-04-09
1,Customer NRZBB,11011,2016-04-09
4,Customer HFBZG,11016,2016-04-10
47,Customer PSQUZ,11014,2016-04-10
70,Customer TMXGN,11015,2016-04-10
64,Customer LWGMD,11019,2016-04-13
48,Customer DVFMB,11018,2016-04-13
20,Customer THHDP,11017,2016-04-13
11,Customer UBHAU,11023,2016-04-14
34,Customer IBVRG,11022,2016-04-14
63,Customer IRRVL,11021,2016-04-14
56,Customer QNIVZ,11020,2016-04-14
87,Customer ZHYOS,11025,2016-04-15
27,Customer WMFEA,11026,2016-04-15
19,Customer RFNQC,11024,2016-04-15
14,Customer WNMAF,11029,2016-04-16
10,Customer EEALV,11027,2016-04-16
39,Customer GLLAG,11028,2016-04-16
89,Customer YBQTI,11032,2016-04-17
71,Customer LCOUJ,11030,2016-04-17
71,Customer LCOUJ,11031,2016-04-17
68,Customer CCKOT,11033,2016-04-17
55,Customer KZQZT,11034,2016-04-20
76,Customer SFOGW,11035,2016-04-20
17,Customer FEVNN,11036,2016-04-20
47,Customer PSQUZ,11039,2016-04-21
30,Customer KSLQF,11037,2016-04-21
76,Customer SFOGW,11038,2016-04-21
74,Customer YSHXL,11043,2016-04-22
32,Customer YSIQX,11040,2016-04-22
15,Customer JUWXK,11042,2016-04-22
14,Customer WNMAF,11041,2016-04-22
10,Customer EEALV,11045,2016-04-23
86,Customer SNXOJ,11046,2016-04-23
91,Customer CCFIZ,11044,2016-04-23
10,Customer EEALV,11048,2016-04-24
19,Customer RFNQC,11047,2016-04-24
31,Customer YJCBX,11049,2016-04-24
34,Customer IBVRG,11052,2016-04-27
41,Customer XIIWM,11051,2016-04-27
24,Customer CYZTN,11050,2016-04-27
59,Customer LOLJO,11053,2016-04-27
19,Customer RFNQC,11056,2016-04-28
12,Customer PSNMQ,11054,2016-04-28
35,Customer UMTLM,11055,2016-04-28
6,Customer XHXJV,11058,2016-04-29
53,Customer GCJSG,11057,2016-04-29
67,Customer QVEPD,11059,2016-04-29
66,Customer LHANT,11062,2016-04-30
27,Customer WMFEA,11060,2016-04-30
32,Customer YSIQX,11061,2016-04-30
37,Customer FRXZL,11063,2016-04-30
46,Customer XPNIK,11065,2016-05-01
89,Customer YBQTI,11066,2016-05-01
71,Customer LCOUJ,11064,2016-05-01
80,Customer VONTK,11069,2016-05-04
62,Customer WFIZJ,11068,2016-05-04
17,Customer FEVNN,11067,2016-05-04
20,Customer THHDP,11072,2016-05-05
46,Customer XPNIK,11071,2016-05-05
44,Customer OXFRU,11070,2016-05-05
58,Customer AHXHT,11073,2016-05-05
65,Customer NYUHS,11077,2016-05-06
68,Customer CCKOT,11075,2016-05-06
73,Customer JMIKW,11074,2016-05-06
9,Customer RTXGC,11076,2016-05-06
